SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Cyanobacteria,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
SRS011061,0.000568509911004459,0.8966861730940332,0.0,0.0,0.0,0.07080857045481662,0.0,0.0,0.028651231034799256,0.0,0.0,0.0,1.1500396263778845e-05,0.0016875210812349714
SRS011084,0.006186015563906467,0.8339941333790265,0.0,0.0,0.0,0.1237494604525277,0.0,0.0,0.03118248405650677,0.0,0.0,0.0003413428004323101,0.0001910734626234151,0.003049849875564098
SRS011134,0.00181614200162078,0.6006720914086577,3.310481277300801e-05,0.0,0.0,0.3690956149463918,2.4568741785456755e-05,0.00030569861050962563,0.00918331153310336,2.5001536465047854e-05,1.463142343868946e-05,0.00035075733098050016,0.0009212033458833483,0.01457043929807036
SRS011239,0.0046520436580747455,0.8746159727018956,0.0,0.0,0.0,0.10829420532894303,1.9002012257745334e-05,0.0,0.007141393057356289,0.0,0.0,0.00027898343438649575,0.0004853418206905128,0.0024256711584908796
SRS011271,0.002316950354274671,0.8042765493708638,0.0,0.0,0.0,0.17606209938207415,0.0,0.0053606251929281005,0.009597123808579012,0.0,0.0,0.0,0.0008605241915124093,7.945127161178419e-05
SRS011302,0.0014948036612777087,0.23504352648037888,0.0,0.0,0.0,0.7574797094945146,2.7587109426380133e-05,0.0,0.001168352317113743,1.0373330566847687e-05,0.0,0.0003599519462739396,0.0006147378665997104,0.0016561180277762408
SRS011405,0.00015282520492497812,0.9014690988373512,0.0,0.0,0.0,0.09162104643741689,0.0,0.0,0.003822559942193476,1.0762230189491372e-05,4.5546136163972994e-05,0.0,0.00036987199138266414,0.0013270499117831874
SRS011529,0.00805480376130096,0.8860597418985926,0.0,0.0,0.0,0.09757381973535856,0.0,3.0044638701365992e-05,0.006852188305817367,0.0,1.4228622813158255e-05,0.0,2.9378068442438934e-05,3.3179363934487895e-05
SRS011586,0.0017808513675950295,0.7867464962723241,1.2130675194757527e-05,0.0,0.0,0.19081705576553062,0.0,0.0,0.009809728055482069,0.0001427282636625185,0.0,0.00013490481406761335,0.0005362440290897437,0.007813693375645402
SRS012273,0.012555270275858428,0.6245240220008716,3.798033599557584e-05,0.0,0.0,0.3438647803473652,0.0,0.0,0.0146280108723622,9.026756014021951e-05,0.0,0.00013337108753253398,0.0012106572687336245,0.0002995938989759114
SRS012902,0.0015531520188576749,0.9329481918852897,1.1872809940622169e-05,0.0,0.0,0.04825690026116393,0.0,0.0,0.01626365095764642,0.0,0.0,0.0,0.0,0.0
SRS012969,0.007280379915188801,0.7925564302578947,0.0,0.0,0.0,0.16102149160628462,3.111009594075871e-05,0.023547838789611374,0.012314199064148499,0.0,0.0,0.0,0.00035615384634651924,0.00020149801683352198
SRS013098,0.00679526482044462,0.7829894925626478,0.0,0.0,0.0,0.1730941477695605,0.0,0.0,0.009955761443477047,0.0,2.440738333993608e-05,0.0,1.1148397206655189e-05,0.023319806489404758
SRS013158,0.0025396326546349665,0.9300732324745256,0.0,0.0,0.0,0.04934297802688246,0.0,0.0,0.016333370648214926,0.0,0.0,0.0,0.0,0.0
SRS013215,0.0012816620824044461,0.9478569524619832,0.0,0.0,0.0,0.019439370984257374,4.159153202422512e-05,0.0,0.03058880499155632,0.0,0.0,0.0,0.0,5.8489055073645977e-05
SRS013476,0.004066052315982679,0.5595487887694981,0.0,2.197856819117191e-05,0.0,0.4238905432291305,0.0,0.00014138195016950083,0.004366411391130144,5.640170028213774e-05,3.199470486485692e-05,0.0,0.001251502169219242,0.004484137230634371
SRS013521,0.0029010293889945096,0.8939018105579898,0.0,0.0,0.0,0.021975481707025332,0.0,0.0,0.07852706079323123,0.0,0.0,0.0015455787979418813,3.2661467177248877e-05,0.0
SRS013687,0.013262423155435386,0.7445953178175408,0.0,0.0,0.0,0.19714279067000648,2.0918062814261403e-05,0.0,0.0029028523897303275,0.0,0.0,3.7698463897852875e-05,0.0007454080572181733,0.03907950014073197
SRS013800,0.0013136165518084241,0.9345921028349916,0.0,0.0,0.0,0.034003491359340644,0.0,0.00015013407237452208,0.028466789609298476,0.0,0.0,3.984803036077379e-05,0.00047864968607810166,0.0
SRS013951,0.011848323393879763,0.2314955887210961,5.081574898920874e-05,0.0,0.0,0.7482585444491474,2.7657705451530304e-05,5.09930854474606e-05,0.00333984169931694,0.0004255795163487429,0.0,0.00035874700490288666,0.0008081947625261804,0.00040887484641371233
