SampleName,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Chloroflexi,Deinococcus-Thermus,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unclassified_Bacteria,Verrucomicrobia
DRR127524,0.006918639207322867,0.6251043827120809,4.341616644415397e-05,0.0,0.0,0.3204883233849928,3.0830123871554684e-05,3.056728433353139e-05,0.044999761773941334,1.3584641548229328e-05,0.00018514511947133276,0.0,0.00011917971611705012,5.599560470003394e-05
DRR127532,0.04177688880974664,0.34811892158131785,0.000252863701850516,0.0,5.1968532272114074e-05,0.49792539254096563,6.722475879099012e-05,0.0,0.10882265103695751,0.0,0.0016975338183531628,0.0,4.0737180042984935e-05,0.0
DRR127535,0.1370945770605016,0.6055166941031955,0.0,0.0,0.0,0.22219620275156354,0.0,0.0005140099093481549,0.032504281130615154,0.0,0.0,0.0,0.00035620705252832564,0.0
DRR127537,0.3854789708999646,0.13354365698401707,8.074143903717156e-05,0.0,0.0,0.3580449301612573,3.612849997833386e-05,0.0,0.12095692972315242,0.0,0.0,0.0,7.551294545685044e-05,6.417583880673826e-05
DRR127546,0.0031352602998737018,0.6301821759143265,7.198515279077363e-05,0.0,0.0,0.3528016013000988,2.3805131631130332e-05,0.0,0.010614192383190606,0.000555971749465366,0.0,0.0,0.00055202759093292,0.0
DRR127552,0.06784851410575518,0.6401495471568587,3.30979128707613e-05,0.0,0.0,0.21372054378861471,0.04214449364714416,0.0,0.03491372274473688,0.0,0.0,0.0,2.1964198300049644e-05,0.0
DRR127583,0.0021060225267577736,0.5540820008018822,1.9271205915926528e-05,0.0,0.0,0.4390249564879538,0.0,0.0,0.003069670990087972,0.0,0.0,0.0,6.884050999229679e-05,0.0002966731973976284
DRR127588,0.05245109927363224,0.4954756528512455,2.8646103218254852e-05,0.0,0.0,0.4473459544132643,0.0005180122386642437,0.0,0.0028985333895016558,0.0,0.0,0.0,0.00010386968615289915,0.0
DRR127596,0.09859899381979967,0.03227611467755996,2.605810481253891e-05,0.0,0.0,0.7263735488678523,0.0021853566530859177,0.0,0.13862496293243678,0.0,3.873719547850886e-05,0.0,2.1132254051670526e-05,0.0
DRR127597,0.01246780033496352,0.6544717825073993,1.5172581692515165e-05,0.0,0.0,0.3076734492519358,3.6249675008458076e-05,0.0,0.02045002047543218,7.210909428460417e-05,0.0007060734743823876,0.0,0.0002210763362781915,0.0018029859012904134
DRR127613,0.01669590097484213,0.5789601012704114,0.0,0.0,0.0,0.37083175761385706,0.0054811956489380755,0.0,0.02574753938767309,4.109608100854094e-05,8.353455732298877e-05,0.0,5.453233686516485e-05,0.0
DRR127616,0.11908127752329019,0.39191387329285954,2.721294950827477e-05,0.0,0.0,0.467345610457955,2.689539705876082e-05,0.0,0.019800214810868678,0.0,5.251842763659744e-05,0.0,0.0004373056590819411,0.0002370118285695968
DRR127619,0.019343556106596,0.6474846030907067,1.123782103082527e-05,0.0,0.0,0.26487452151205987,0.010435808926524768,0.0,0.05639455473883747,0.0,0.0,0.0,7.883856958302123e-05,0.0
DRR127628,0.047337088378417144,0.47454628174314323,3.351514534713286e-05,0.0,0.0,0.4373834552876865,0.0,0.0,0.03871046782423216,0.00021217849751344316,0.0,0.0,3.413747514175361e-05,0.00013065565866982845
DRR127634,0.09896358642576518,0.5954327743252065,4.297129986243112e-05,0.0,0.0,0.2606807653288178,0.030159020180794503,0.0,0.013158368520872663,0.0,0.0,0.0,0.00015764677960221785,0.0
DRR127649,0.06159068847922111,0.4567111782511176,3.466148447165072e-05,0.0,0.0,0.42655690648896133,0.0,0.0005515520543858971,0.0222245054787146,0.0,0.0001130612696186102,0.0,1.6640643222337298e-05,0.0303268923301617
DRR127672,0.003533685644933062,0.7273034115120229,1.6484043254231665e-05,0.0,0.0,0.24265302966034386,0.0,0.0,0.025421795951811918,1.1193601566399394e-05,0.0,0.0,0.00011731826200967149,0.0
DRR127683,0.0007818174057200426,0.8799516076302045,0.0,0.0,0.0,0.10948780119970386,4.419014067823037e-05,0.0,0.008928460308386852,0.0,0.0,0.0,0.0,0.0
DRR127692,0.04162218484729521,0.5922652908683654,0.0,0.0,0.0,0.3377349791722241,0.0,0.0,0.02671087588833099,0.0,0.0,0.0,1.6163033776901917e-05,0.0
DRR127704,0.0156231488697269,0.6693296532440225,0.0,0.0,0.0,0.290474925282486,0.0,0.00010109233028524662,0.020528920360981445,0.0,0.0,0.0,0.0,0.002709931533832429
DRR127707,0.043125352442338324,0.549137102131763,0.000122973817843844,0.0,0.0,0.3933024605927861,9.664150338828326e-05,0.0,0.0072878941664536135,9.263887391180274e-05,0.0,0.0,0.005527520252044107,0.0
