,F1-score
0,0.8372
1,0.8488
2,0.814
3,0.8372
4,0.8488
5,0.8488
6,0.8372
7,0.8547
8,0.8372
9,0.8314
10,0.8314
11,0.8198
12,0.8314
13,0.8372
14,0.8314
15,0.8605
16,0.8314
17,0.8721
18,0.843
19,0.843
20,0.8372
21,0.8372
22,0.843
23,0.8488
24,0.8372
25,0.8372
26,0.8605
27,0.8547
28,0.843
29,0.8372
30,0.8314
31,0.8314
32,0.8198
33,0.8488
34,0.843
35,0.8372
36,0.8314
37,0.843
38,0.8488
39,0.8547
40,0.8198
41,0.8605
42,0.8488
43,0.8372
44,0.843
45,0.8372
46,0.8372
47,0.8314
48,0.8372
49,0.8488
