SampleName,Absiella,Acetivibrio,Agathobaculum,Alistipes,Anaerobutyricum,Anaerostipes,Anaerotignum,Anaerotruncus,Angelakisella,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyricicoccus,Butyricimonas,Butyrivibrio,Christensenella,Clostridium,Coprobacter,Coprococcus,Culturomica,Dorea,Emergencia,Erysipelatoclostridium,Eubacterium,Faecalibacterium,Faecalicatena,Faecalitalea,Flavonifractor,Fournierella,Fusicatenibacter,Gemmiger,Holdemanella,Holdemania,Hungatella,Lachnoclostridium,Lactobacillus,Marvinbryantia,Massilioclostridium,Mediterranea,Merdibacter,Merdimonas,Mordavella,Negativibacillus,Neglecta,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Phascolarctobacterium,Phocea,Porphyromonas,Prevotella,Prevotellamassilia,Provencibacterium,Pseudoflavonifractor,Rikenella,Roseburia,Ruminococcus,Ruthenibacterium,Streptococcus,Subdoligranulum,Traorella,Tyzzerella,Unclassified_Bacteria,Unclassified_Clostridiales,Unclassified_Erysipelotrichaceae,Unclassified_Lachnospiraceae,Unclassified_Ruminococcaceae
SRS011061,9.790753348806062e-05,5.050748442728066e-05,4.3348184909905285e-05,0.12223734381706507,0.00016801398500211297,0.00027968979911812905,0.0006694728623296666,0.0008005790471193044,0.000649860847930218,0.5932556243868287,0.0015064565230537878,5.1553345015397016e-05,0.0007925476385737894,0.00023147446102594261,0.00489385882774173,0.0002516922871906043,0.00025692792792068035,0.000358922034730478,0.0005925067338570792,0.0014706025143958906,0.0018563833536224589,0.0009176290778849534,0.00010872777161914803,0.0003554377537387054,0.0019756918327106005,0.008560424429002053,2.5370195944049573e-05,0.00010488689700697168,0.00019286705775868092,0.0003889903424149472,0.0008995659055540003,0.0027914666571944666,0.00015369040144435218,9.666444254022793e-05,2.7244514214021537e-05,0.0007711281480850595,0.006738596944764217,5.884991611895864e-05,0.000156864430929016,0.0092254911149605,0.00010313707222053576,5.3341741360387e-05,0.000157191247886343,0.00028377565694196236,0.0001705031844203688,0.005483808647581969,0.0031827817937053002,0.18706357629353634,0.000288903489615344,9.852637722036317e-05,7.977913150704784e-05,0.0006522153901856078,0.0008913922961591723,0.0004843075978811053,0.00019514116217578178,0.00041625783677417974,0.0001197858185488201,0.010069339137480458,0.015228577520647409,0.0010432876781180202,0.0005441934814328829,0.00022821118971564047,0.00014595943973862515,0.0007666786008499578,1.1948939005465524e-05,0.004088641352442555,0.0,0.0032183315698549723,0.0008655449237620655
SRS011084,0.0001994142278908803,7.794143736454035e-05,9.815690151786909e-05,0.2120514878547329,0.0004909472496889457,0.00019073866940326795,0.00022502541043009736,0.001036929151948448,0.0008761342490697994,0.5305042300907311,0.059683517908721964,0.0,0.005231680061160528,0.00011713005662795113,0.0024089482158321956,0.0003313510630918839,0.00031515299513122495,0.0006059654074103729,0.001127203450714586,0.0028770540107174577,0.0008542909069947858,0.0009940034604229095,0.0006898575783538287,0.00021887331015283065,0.004600281463014113,0.021166461463679828,0.00021965012227015616,0.0002305307396332763,0.00028749688330626715,0.0004870526902512454,0.0015278811953534119,0.006162689785515857,8.755514082743322e-05,0.0002102746530216785,0.00014909439759800208,0.0013295953067047734,9.083178922103275e-05,5.250871175072546e-05,0.00011988909197049565,0.0018958583778584273,8.526311211156474e-05,5.3380347204513045e-05,8.184156423845827e-05,0.0002536615762165987,7.060409806054672e-05,0.014468011128372817,0.00252699911287212,0.04807788015416495,0.0003042568677129189,0.018048558586311263,0.00011637560097935913,5.2214898493698176e-05,0.00020305646471160477,2.609722287299091e-05,0.00022523782522829923,0.0006981911047790434,0.000236397347653236,0.01637151062934943,0.013636759381760866,0.0009706713121565288,0.00014132744944431552,0.0017158439049559826,0.00015896804206701098,0.0012692331349418405,0.00019985513919593045,0.0055003631991794475,9.655043897910235e-05,0.01382333121070683,0.0007638736651916932
SRS011134,0.00018180084109998822,0.00018001364335447988,0.00027719193260310285,0.1740150168444433,0.0009036047690019248,0.0009828394058230075,0.0002446724818157739,0.0011209098323169664,0.001741895514665628,0.24742492813063913,0.0009952712620559905,0.00020831165141673363,0.006005530836487649,0.004975271656125194,0.005067749573054048,0.13384667547951484,0.0005450574649057532,0.0014872296093523531,0.001586397950076685,0.0028126073338055183,0.000272282830525632,0.01615110368877344,0.00015287369812395503,0.00024388520257548858,0.008050513021704474,0.03357025644050452,0.00010036028634073156,0.0006730755216794003,0.00030623620525516046,0.001023322535611269,0.0031291409551294598,0.003741242487181795,0.00012661671026643656,3.90262839187578e-05,0.00011666792587144086,0.0031892570060556248,0.005049545210531847,0.00021126230880347485,0.00030214468019965383,0.0028682927344734614,0.00012975887693026422,0.00011123950661567742,0.0002215340315444335,0.0009285228551657303,0.0001473129497497059,0.02836645389895361,0.0033805408662052447,0.055752676422530734,0.00025306311314153416,0.00011773743232797473,0.0008464584030533713,0.0002076325404822654,0.12699554921699763,0.004296005101991597,0.0003518353437662713,0.0009000149342370951,0.0003168198124334657,0.01787772510982778,0.007333863318443561,0.0015655643347129095,0.005391574516839238,0.001080977824097403,0.0002497053120969977,0.003203781752864783,0.0009959536293408801,0.006800391022394234,0.0005110145613281029,0.0552289791921604,0.012517232173682875
SRS011239,6.759838235983409e-05,0.0023688443277031573,7.25786307009117e-05,0.1801350932355088,0.0006275210874937172,0.0003380575688501191,0.00030207133327422696,0.0011359213019653646,0.0008486036941952577,0.5714018533822351,0.0004756012434000585,0.004369683465827182,0.0025524535542919575,0.00015844464794339297,0.005637765590985622,0.0002919003998521483,0.00022602814589755968,0.001399861314133667,0.0006699672362148119,0.002084997469695202,0.004044814419344459,0.0014095511182460544,0.0001552768604030258,0.0003348705579891977,0.002980470588210351,0.01620616763796306,3.0452636537783833e-05,0.0002975313366683921,0.00025033760447556205,0.0004774861103291108,0.0009176799440702643,0.0016012917308671527,3.684048590844918e-05,7.279132782339876e-05,0.0002353646588995079,0.0008688250150644227,0.0013123360987181828,3.6319611778012705e-05,9.977984904593425e-05,0.0017154953585528402,6.35791470403608e-05,5.524975082437861e-05,0.0001697385290592918,0.0006790533131945082,0.00013318590172330396,0.018914651380016294,0.0025809753340742545,0.10814879910575848,0.00031255085317860435,0.012311940308414206,7.927589103695456e-05,3.642808335432388e-05,0.00034549015991480747,0.00011530518603572814,0.00017069072289516065,0.0003286533270674021,0.0002101226397286583,0.005187272015083215,0.014561826125135862,0.0005093234849023893,0.00040144803018287795,0.0003330450323336664,0.00011507133091425362,0.0004085081830467462,0.0004953327665680074,0.003217136372962238,0.0001507380647742432,0.02063596474013927,0.0010801152572171104
SRS011271,0.0001523708736876114,0.00020191056546900918,0.00013076377740127467,0.0782888475657425,0.0040803618659706765,0.0008969376513377086,0.00014762114419374965,0.0005982709185285345,0.0003407582749805797,0.1757830601463098,0.00038018362967129566,0.0008351049099966713,0.0067916409868437,0.0002497205224182418,0.004626054414184521,0.0006506624425155769,0.00029200967665410035,0.0011319769631686857,0.0001281203840478247,0.004709984413349874,0.0004222890914092942,0.005152434004540827,0.00013239491764407144,0.0001624811754271898,0.004773234080159422,0.008859349846780957,5.871915419331285e-05,0.000407532823066613,0.0001273529143970178,0.0002058398481095333,0.0014176061916304115,0.0013514332485430912,2.3325092695955025e-05,6.286921834276424e-05,0.0001707506935453724,0.0015924194668469707,0.0004331271428317544,7.68106365127491e-05,9.633016114773516e-05,0.0014327008374910605,5.666219251723852e-05,3.8450136583609344e-05,0.0003782776950461808,0.0005145350029804981,0.0001007538643485496,0.018943378878523823,0.0012143411873565047,0.025354382559946393,0.0007338235089176734,0.015250915421652814,0.00010388651582669009,2.4576726574679768e-05,0.5115024381417429,0.002834668473644625,0.00018461125680330253,0.00026853882484919613,4.8351539620662104e-05,0.024374283359199833,0.004678415316107933,0.0003568918726389649,0.0009733317386215854,0.0002886597129844836,0.00016132371319496077,0.000679462193043145,0.0008779944353574338,0.005055860433152984,0.0006375529000294531,0.07600317900334992,0.0009850917235961717
SRS011302,0.0002492657628435094,0.00024084551060976227,6.570333872429089e-05,0.06232160779451948,0.0005294573315076154,0.00043649635443234754,0.0007422629448471214,0.003753945505509434,0.003081339331826021,0.15489812206049966,0.01579208640528346,0.0010515719926162547,0.0053551389958925374,0.0009385725459427471,0.0010174537060316851,0.0015142939825686663,0.0024622274637271287,0.0009795503984797171,8.138634743287478e-05,0.003566249239945329,0.0003313993061268126,0.001561415118851477,0.00048065245629573116,0.0014938907710885037,0.004685341429970183,0.03239390978592762,0.00020026652887179613,0.00040024674533309645,0.00024351829457523272,0.0014363409183135634,0.0011062029367219716,0.004514861311907011,7.608734230392677e-05,0.00022669306768505865,0.00011201613010171309,0.0017671436486384512,0.0006777350570443268,3.3408245925503644e-05,0.0009983994318436393,0.0025118816980529194,0.0006907169886337819,0.00033721304120347775,0.00030388598299280114,0.0025038086317505457,0.0006000779442069358,0.0034384792999467297,0.001887961931873113,0.005948472958526035,0.0001887750426303962,0.0003416845296394087,0.00015939668623488474,6.532003024230819e-05,0.0004444620265507714,0.00012851022328752917,0.0014743709473131572,0.0009323632531286412,7.831791915689092e-05,0.015854141857296285,0.6205000462734361,0.0016832877745055267,0.0024471941787083027,0.0011326262424252245,0.0007160986438881424,0.0011324358600253183,0.0006468529032550442,0.007542981433500975,0.00012087919594427355,0.011649623012585836,0.0027210279482932343
SRS011405,2.4084293715793422e-05,0.00013323553730370995,8.797313358012115e-05,0.06603332065708352,0.0004532558985585423,0.00034760150204133354,0.0009164896582939252,0.0006005448026744296,0.000347517211065163,0.7577083522803459,0.00425200078088919,5.64153957602885e-05,0.0025662506546075357,0.00030183509104704054,0.010629246681982016,0.00028099520561346677,8.061553310049651e-05,0.0012207676709733676,0.00218547932159092,0.000706876363422043,0.005853624810627329,0.0011875152809097218,6.68477704763845e-05,0.0004997041765687983,0.0007206409413447789,0.001219851342994705,0.00010017906192039553,0.00022973936488384,0.00028068305246188493,0.00017202064748095708,0.0028720885174592613,0.0006400408903747005,4.704888618357526e-05,1.8837599757655804e-05,0.00020150180755337775,0.0016073161644951284,0.005268175898534383,2.2783818386434574e-05,6.597646166798186e-05,0.0035108607446810757,0.00012831685852757703,8.035891543188793e-05,9.82866696584311e-05,0.0005155519725632408,0.00011401874122251637,0.006154711048048872,0.0014751851139012287,0.046370455363352374,0.0009526012043311556,0.00019832375060069933,0.00010623697318677455,0.0003809211935310605,0.0028690620336860825,0.003289154624156173,0.00011056492883946742,0.0002468047596661365,0.00014877346663274017,0.016308114584208847,0.015718864672343895,0.00042418844860990556,7.774432895019097e-05,0.00020040862342348,3.667871684134168e-05,0.00044924442832780656,0.0003740025477757411,0.0025371568309611194,0.0002971707783245652,0.0202135108328136,0.006605292677671925
SRS011529,5.768880257727144e-05,9.277552563638845e-05,0.00012218591213820063,0.03168244255541959,0.0004506090215620816,0.00015319424042262012,0.00011274842241996308,0.00038190501289144213,0.0005308181621328422,0.3030788272632394,0.000626338698304211,0.0012368135523981596,0.001372209167321933,0.0001533931814134861,0.0033890300166680844,0.00029793516794442935,0.00020208856410494172,0.0007722055477963234,0.0021638412564531613,0.0012517228013479353,0.0003174394899263029,0.00315052327401714,4.1270131975205364e-05,6.319023566144737e-05,0.009502784529426768,0.0028615703343549638,1.5358715263190996e-05,0.00015634795150181838,5.882054458279121e-05,0.00017327404091778092,0.0003783061406158701,0.0008811814386050808,0.0010907448063715165,1.0757310632666928e-05,7.475134269609103e-05,0.00040355784237037324,0.0011220500175203691,3.752206452070758e-05,0.0001663448435724865,0.01960874939891921,2.11748893243856e-05,2.9344506603401575e-05,6.060908816667364e-05,0.000424203267194336,9.8376201239757e-05,0.004371266602139217,0.0009157697828031254,0.024428451470107342,0.011699605339958374,0.0001544214160187552,9.322326160040852e-05,9.055692763722548e-05,0.5061463651251724,0.030304217534638387,3.9146791879552254e-05,0.00042505477936872945,6.077528084572369e-05,0.01223038996829129,0.0027141357058669867,0.0003378005661402894,0.0009966599293622172,0.00031624204818806487,0.00013954045488613886,0.0002819595488602065,3.1111959333857884e-05,0.0053617092119120704,0.0,0.009233501194986877,0.00075106982183006
SRS011586,0.00019398786808404484,0.00011605545451599445,0.00025006571114975665,0.16910899495832998,0.001070619201696211,0.003615879926900058,0.0002965895671967401,0.004741449525086433,0.001340125416894055,0.5058522476897914,0.002111622496397661,0.00030859367796282213,0.013158612369754713,0.00043716596779338395,0.005497747207795334,0.0003051973721128037,0.002276195901676903,0.002678260196808532,0.005606630784786879,0.00351086650318426,0.0007679757929060132,0.006704838849585372,0.0006351132904324062,0.001436479697658832,0.023485804142194266,0.01930384177061545,0.00011842295558353695,0.0004988011104775253,0.0007390331057461475,0.0010168390728761366,0.002238225075199653,0.006162506054822724,0.00018230265712322965,0.00019316109665208547,0.00018715171492354504,0.0026803142867086512,0.001953931977887344,6.092573310505567e-05,5.842991273026419e-05,0.0010889119131483845,0.00012971828133888773,5.273962470455157e-05,0.00226537232603586,0.004167841910630253,0.0002752210806930835,0.02572626947108895,0.002130022189892341,0.08355871356788991,0.00026597188209266783,0.00015112100274364943,0.00011917596065654154,6.131378566907892e-05,0.008343434193713306,0.0009707701332945617,0.0002135984979746914,0.000874152862011291,0.00014524047215578302,0.009984073498940073,0.02526400436285557,0.0018241627033804613,0.0016822060787953707,0.002141170653002293,0.0005404609535702485,0.001236450929067918,0.0005516393107507518,0.0053125085259729905,0.0003980986760941156,0.012297003608529509,0.017327625448160838
SRS012273,0.00029577061112034383,0.00015830149586212666,0.0004003384144541588,0.19822861852715004,0.0024384251210818886,0.005345291736327236,0.0010873377462642224,0.0035562236127282903,0.0026785116895243657,0.41596952147500094,0.0008463141644142672,0.0045671481219890465,0.04798142842779864,0.00025507520687260174,0.0007446530058753347,0.0004033244568043698,0.0025233289563548447,0.009935353087725826,0.000703493936341324,0.01193538856427864,0.00026641722992970865,0.004322612722862734,0.0006805538750429159,0.0016381538567230502,0.012511530453308443,0.007375731444700039,0.000603311744378792,0.0006849588113304921,0.0009776376424163187,0.001084542994247057,0.018274735626895577,0.020064231650712427,8.774204051158702e-05,0.0001441331658077998,0.001968758675033214,0.010294827533800071,0.00014861656800632428,0.0002083892542480082,0.00013172228673891763,0.0007341565406840236,0.0004237015401499286,0.002584120373414158,0.0008663336371166988,0.0016586323642003998,0.0017475446239641555,0.0007940662025142617,0.0028973711525367425,0.033616444833386744,0.00012393382777388406,0.018497078994289973,0.0002795838901989443,0.0008164607989458116,0.001757470626263816,0.00013976309170121996,0.0023322598701700273,0.0017076870666208718,0.00012483596649342832,0.021980315156942567,0.02325435518177484,0.04209228877408616,0.004817076965090392,0.002923241760389394,0.0005137888437765754,0.0020306144874819927,0.0012699175212191698,0.006375990598770316,0.0007689580869574482,0.0064947396734499185,0.024854811614974305
