Bacterial_Strain,Accession,TaxID,Species,Genus,Family,Order,Class,Phylum
Actinosynnema_mirum_DSM_43827_strainDSM_43827,NC_013093.1,446462,Actinosynnema_mirum,Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria
Acidimicrobium_ferrooxidans_DSM_10331_strainDSM_10331,NC_013124.1,525909,Acidimicrobium_ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria
Capnocytophaga_ochracea_DSM_7271_strainDSM_7271,NC_013162.1,521097,Capnocytophaga_ochracea,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
Francisella_tularensis_subsp_tularensis_NE061598_strainNE061598,NC_017453.1,510831,Francisella_tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria
Kosmotoga_olearia_TBF_1951_strainTBF_1951,NC_012785.1,521045,Kosmotoga_olearia,Kosmotoga,Kosmotogaceae,Kosmotogales,Thermotogae,Thermotogae
Variovorax_paradoxus_S110_strainS110,NC_012791.1,543728,Variovorax_paradoxus,Variovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Escherichia_coli_DH1_strainDH1,NC_017625.1,536056,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Geobacillus_sp_WCH70_strainWCH70,NC_012793.1,471223,Geobacillus_sp_WCH70,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Brachybacterium_faecium_DSM_4810_strainDSM_4810,NC_013172.1,446465,Brachybacterium_faecium,Brachybacterium,Dermabacteraceae,Micrococcales,Actinobacteria,Actinobacteria
Ralstonia_pickettii_12D_strain12D,NC_012856.1,428406,Ralstonia_pickettii,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Desulfovibrio_salexigens_DSM_2638_strainDSM_2638,NC_012881.1,526222,Desulfovibrio_salexigens,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria
Zunongwangia_profunda_SMA87_strainSMA87,NC_014041.1,655815,Zunongwangia_profunda,Zunongwangia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
Paenibacillus_sp_JDR2_strainJDR2,NC_012914.1,324057,Paenibacillus_sp_JDR-2,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
Pectobacterium_carotovorum_subsp_carotovorum_PC1_strainPC1,NC_012917.1,561230,Pectobacterium_carotovorum,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Mycobacterium_tuberculosis_KZN_1435_strainKZN_1435,NC_012943.1,478434,Mycobacterium_tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Geobacter_sp_M21_strainM21,NC_012918.1,443144,Geobacter_sp_M21,Geobacter,Geobacteraceae,Desulfuromonadales,Deltaproteobacteria,Proteobacteria
Escherichia_coli_'BL21Gold(DE3)pLysS_AG'_strainBL21Gold(DE3)pLysS_AG,NC_012947.1,866768,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Methylotenera_mobilis_JLW8_strainJLW8,NC_012968.1,583345,Methylotenera_mobilis,Methylotenera,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria
Flavobacteriaceae_bacterium_351910_strain351910,NC_013062.1,531844,Flavobacteriaceae_bacterium_3519-10,Unclassified_Flavobacteriaceae,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
Methylovorus_glucosetrophus_SIP34_strainSIP34,NC_012969.1,582744,Methylovorus_glucosotrophus,Methylovorus,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria
Candidatus_Liberibacter_asiaticus_str_psy62_strainpsy62,NC_012985.3,537021,Candidatus_Liberibacter_asiaticus,Liberibacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Hirschia_baltica_ATCC_49814,NC_012982.1,582402,Hirschia_baltica,Hirschia,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria
Helicobacter_pylori_52_strain52,NC_017354.1,684950,Helicobacter_pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Pedobacter_heparinus_DSM_2366_strainDSM_2366,NC_013061.1,485917,Pedobacter_heparinus,Pedobacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes
Cryptobacterium_curtum_DSM_15641_strainDSM_15641,NC_013170.1,469378,Cryptobacterium_curtum,Cryptobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria
Saccharomonospora_viridis_DSM_43017_strainDSM_43017,NC_013159.1,471857,Saccharomonospora_viridis,Saccharomonospora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria
Slackia_heliotrinireducens_DSM_20476_strainDSM_20476,NC_013165.1,471855,Slackia_heliotrinireducens,Slackia,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria
Leptotrichia_buccalis_C1013b_strainDSM_1135,NC_013192.1,523794,Leptotrichia_buccalis,Leptotrichia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
Kytococcus_sedentarius_DSM_20547_strainDSM_20547,NC_013169.1,478801,Kytococcus_sedentarius,Kytococcus,Dermacoccaceae,Micrococcales,Actinobacteria,Actinobacteria
Chitinophaga_pinensis_DSM_2588_strainDSM_2588,NC_013132.1,485918,Chitinophaga_pinensis,Chitinophaga,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes
Catenulispora_acidiphila_DSM_44928_strainDSM_44928,NC_013131.1,479433,Catenulispora_acidiphila,Catenulispora,Catenulisporaceae,Catenulisporales,Actinobacteria,Actinobacteria
Cyanothece_sp_PCC_8802_strainPCC_8802,NC_013161.1,395962,Rippkaea_orientalis,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Cyanobacteria
Jonesia_denitrificans_DSM_20603_strainDSM_20603,NC_013174.1,471856,Jonesia_denitrificans,Jonesia,Jonesiaceae,Micrococcales,Actinobacteria,Actinobacteria
Kangiella_koreensis_DSM_16069_strainDSM_16069,NC_013166.1,523791,Kangiella_koreensis,Kangiella,Kangiellaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria
Anaerococcus_prevotii_DSM_20548_strainDSM_20548,NC_013171.1,525919,Anaerococcus_prevotii,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes
Robiginitalea_biformata_HTCC2501_strainHTCC2501,NC_013222.1,313596,Robiginitalea_biformata,Robiginitalea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes
Chlamydia_pneumoniae_LPCoLN_strainLPCoLN,NC_017285.1,406984,Chlamydia_pneumoniae,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Candidatus_Accumulibacter_phosphatis_clade_IIA_str_UW1_strainUW1,NC_013194.1,522306,Candidatus_Accumulibacter_phosphatis,Unclassified_Betaproteobacteria,Unclassified_Betaproteobacteria,Unclassified_Betaproteobacteria,Betaproteobacteria,Proteobacteria
Desulfofarcimen_acetoxidans_DSM_771_strainDSM_771,NC_013216.1,485916,Desulfofarcimen_acetoxidans,Desulfofarcimen,Peptococcaceae,Clostridiales,Clostridia,Firmicutes
Atopobium_parvulum_DSM_20469_strainDSM_20469,NC_013203.1,521095,Atopobium_parvulum,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria
Zymomonas_mobilis_subsp_mobilis_NCIMB_11163_strainNCIMB_11163,NC_013355.1,622759,Zymomonas_mobilis,Zymomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria
Eggerthella_lenta_DSM_2243_strainDSM_2243,NC_013204.1,479437,Eggerthella_lenta,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinobacteria
Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_strainDSM_446,NC_013205.1,521098,Alicyclobacillus_acidocaldarius,Alicyclobacillus,Alicyclobacillaceae,Bacillales,Bacilli,Firmicutes
Desulfohalobium_retbaense_DSM_5692_strainDSM_5692,NC_013223.1,485915,Desulfohalobium_retbaense,Desulfohalobium,Desulfohalobiaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria
Kribbella_flavida_DSM_17836_strainDSM_17836,NC_013729.1,479435,Kribbella_flavida,Kribbella,Nocardioidaceae,Propionibacteriales,Actinobacteria,Actinobacteria
Nakamurella_multipartita_DSM_44233_strainDSM_44233,NC_013235.1,479431,Nakamurella_multipartita,Nakamurella,Nakamurellaceae,Nakamurellales,Actinobacteria,Actinobacteria
Thermomonospora_curvata_DSM_43183_strainDSM_43183,NC_013510.1,471852,Thermomonospora_curvata,Thermomonospora,Thermomonosporaceae,Streptosporangiales,Actinobacteria,Actinobacteria
Sebaldella_termitidis_ATCC_33386_strainATCC_33386,NC_013517.1,526218,Sebaldella_termitidis,Sebaldella,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
Bifidobacterium_dentium_Bd1_strainBd1,NC_013714.1,401473,Bifidobacterium_dentium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
Candidatus_Puniceispirillum_marinum_IMCC1322_strainIMCC1322,NC_014010.1,488538,Candidatus_Puniceispirillum_marinum,Unclassified_Alphaproteobacteria,Unclassified_Alphaproteobacteria,Unclassified_Alphaproteobacteria,Alphaproteobacteria,Proteobacteria
Treponema_pallidum_subsp_pallidum_str_Chicago_strainChicago,NC_017268.1,666714,Treponema_pallidum,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetes
Anaplasma_centrale_str_Israel_strainIsrael,NC_013532.1,574556,Anaplasma_centrale,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Stackebrandtia_nassauensis_DSM_44728_strainDSM_44728,NC_013947.1,446470,Stackebrandtia_nassauensis,Stackebrandtia,Glycomycetaceae,Glycomycetales,Actinobacteria,Actinobacteria
Streptobacillus_moniliformis_DSM_12112_strainDSM_12112,NC_013515.1,519441,Streptobacillus_moniliformis,Streptobacillus,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria
Staphylococcus_aureus_subsp_aureus_ED98_strainED98,NC_013450.1,681288,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Ammonifex_degensii_KC4_strainKC4,NC_013385.1,429009,Ammonifex_degensii,Ammonifex,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes
Pectobacterium_parmentieri_WPP163_strainWPP163,NC_013421.1,561231,Pectobacterium_parmentieri,Pectobacterium,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Fibrobacter_succinogenes_subsp_succinogenes_S85_strainS85,NC_013410.1,59374,Fibrobacter_succinogenes,Fibrobacter,Fibrobacteraceae,Fibrobacterales,Fibrobacteria,Fibrobacteres
Paenibacillus_sp_Y412MC10_strainY412MC10,NC_013406.1,481743,Paenibacillus_sp_Y412MC10,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes
Geobacillus_sp_Y412MC61_strainY412MC61,NC_013411.1,544556,Geobacillus_sp_Y412MC61,Geobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Nitrosococcus_halophilus_Nc_4_strainNc_4,NC_013960.1,472759,Nitrosococcus_halophilus,Nitrosococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Halothiobacillus_neapolitanus_c2_strainc2,NC_013422.1,555778,Halothiobacillus_neapolitanus,Halothiobacillus,Halothiobacillaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Gordonia_bronchialis_DSM_43247_strainDSM_43247,NC_013441.1,526226,Gordonia_bronchialis,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Haliangium_ochraceum_DSM_14365_strainDSM_14365,NC_013440.1,502025,Haliangium_ochraceum,Haliangium,Kofleriaceae,Myxococcales,Deltaproteobacteria,Proteobacteria
Vibrio_antiquarius_strainEX25,NC_013456.1,150340,Vibrio_antiquarius,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria
Rhodothermus_marinus_DSM_4252_strainDSM_4252,NC_013501.1,518766,Rhodothermus_marinus,Unclassified_Bacteroidetes,Unclassified_Bacteroidetes,Unclassified_Bacteroidetes,Unclassified_Bacteroidetes,Bacteroidetes
Streptosporangium_roseum_DSM_43021_strainDSM_43021,NC_013595.1,479432,Streptosporangium_roseum,Streptosporangium,Streptosporangiaceae,Streptosporangiales,Actinobacteria,Actinobacteria
Sulfurospirillum_deleyianum_DSM_6946_strainDSM_6946,NC_013512.1,525898,Sulfurospirillum_deleyianum,Sulfurospirillum,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Thermanaerovibrio_acidaminovorans_DSM_6589_strainDSM_6589,NC_013522.1,525903,Thermanaerovibrio_acidaminovorans,Thermanaerovibrio,Synergistaceae,Synergistales,Synergistia,Synergistetes
Sanguibacter_keddieii_DSM_10542_strainDSM_10542,NC_013521.1,446469,Sanguibacter_keddieii,Sanguibacter,Sanguibacteraceae,Micrococcales,Actinobacteria,Actinobacteria
Veillonella_parvula_DSM_2008_strainDSM_2008,NC_013520.1,479436,Veillonella_parvula,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes
Xylanimonas_cellulosilytica_DSM_15894_strainDSM_15894,NC_013530.1,446471,Xylanimonas_cellulosilytica,Xylanimonas,Promicromonosporaceae,Micrococcales,Actinobacteria,Actinobacteria
Sphaerobacter_thermophilus_DSM_20745_strainDSM_20745,NC_013523.1,479434,Sphaerobacter_thermophilus,Sphaerobacter,Sphaerobacteraceae,Sphaerobacterales,Thermomicrobia,Chloroflexi
Thermobaculum_terrenum_ATCC_BAA798_strainATCC_BAA798,NC_013525.1,525904,Thermobaculum_terrenum,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria,Unclassified_Bacteria
Dehalococcoides_mccartyi_VS_strainVS,NC_013552.1,311424,Dehalococcoides_mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi
Lactococcus_lactis_subsp_lactis_KF147_strainKF147,NC_013656.1,684738,Lactococcus_lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Dickeya_zeae_Ech586_strainEch586,NC_013592.1,590409,Dickeya_zeae,Dickeya,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Staphylococcus_lugdunensis_HKU0901_strainHKU0901,NC_013893.1,698737,Staphylococcus_lugdunensis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Thermotoga_naphthophila_RKU10_strainRKU10,NC_013642.1,590168,Thermotoga_naphthophila,Thermotoga,Thermotogaceae,Thermotogales,Thermotogae,Thermotogae
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_strainALOHA,NC_013771.1,1453429,Candidatus_Atelocyanobacterium_thalassa,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Unclassified_Cyanobacteria,Cyanobacteria
Staphylococcus_aureus_0402981_strain0402981,NC_017340.1,703339,Staphylococcus_aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes
Escherichia_coli_O55:H7_str_CB9615_strainCB9615,NC_013941.1,701177,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pirellula_staleyi_DSM_6068_strainDSM_6068,NC_013720.1,530564,Pirellula_staleyi,Pirellula,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes
Gardnerella_vaginalis_40905_strain40905,NC_013721.1,553190,Gardnerella_vaginalis,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
Mageeibacillus_indolicus_UPII95_strainUPII95,NC_013895.2,699246,Mageeibacillus_indolicus,Mageeibacillus,Hungateiclostridiaceae,Clostridiales,Clostridia,Firmicutes
Bifidobacterium_animalis_subsp_lactis_BB12_strainBB12,NC_017214.1,552531,Bifidobacterium_animalis,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria
Conexibacter_woesei_DSM_14684_strainDSM_14684,NC_013739.1,469383,Conexibacter_woesei,Conexibacter,Conexibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria
Acidaminococcus_fermentans_DSM_20731_strainDSM_20731,NC_013740.1,591001,Acidaminococcus_fermentans,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes
Geodermatophilus_obscurus_DSM_43160_strainDSM_43160,NC_013757.1,526225,Geodermatophilus_obscurus,Geodermatophilus,Geodermatophilaceae,Geodermatophilales,Actinobacteria,Actinobacteria
Mycoplasma_gallisepticum_str_R(high)_strainR(high),NC_017502.1,710128,Mycoplasma_gallisepticum,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Mycoplasma_gallisepticum_str_F_strainF,NC_017503.1,708616,Mycoplasma_gallisepticum,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Pantoea_ananatis_LMG_20103_strainLMG_20103,NC_013956.2,706191,Pantoea_ananatis,Pantoea,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Campylobacter_jejuni_subsp_jejuni_IA3902,NC_017279.1,567106,Campylobacter_jejuni,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria
Klebsiella_variicola_At22_strainAt22,NC_013850.1,640131,Klebsiella_variicola,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Allochromatium_vinosum_DSM_180_strainDSM_180,NC_013851.1,572477,Allochromatium_vinosum,Allochromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Thioalkalivibrio_sp_K90mix_strainK90mix,NC_013889.1,396595,Thioalkalivibrio_sp_K90mix,Thioalkalivibrio,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Enterobacter_cloacae_subsp_cloacae_ATCC_13047_strainATCC_13047,NC_014121.1,716541,Enterobacter_cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Dehalococcoides_mccartyi_GT_strainGT,NC_013890.1,633145,Dehalococcoides_mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi
Thermocrinis_albus_DSM_14484_strainDSM_14484,NC_013894.1,638303,Thermocrinis_albus,Thermocrinis,Aquificaceae,Aquificales,Aquificae,Aquificae
Thermoanaerobacter_italicus_Ab9_strainAb9,NC_013921.1,580331,Thermoanaerobacter_italicus,Thermoanaerobacter,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes
Sideroxydans_lithotrophicus_ES1_strainES1,NC_013959.1,580332,Sideroxydans_lithotrophicus,Sideroxydans,Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria
Denitrovibrio_acetiphilus_DSM_12809_strainDSM_12809,NC_013943.1,522772,Denitrovibrio_acetiphilus,Denitrovibrio,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres
Escherichia_coli_IHE3034_strainIHE3034,NC_017628.1,714962,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Cutibacterium_acnes_SK137_strainSK137,NC_014039.1,553199,Cutibacterium_acnes,Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria
Bacillus_megaterium_DSM_319_strainDSM_319,NC_014103.1,592022,Bacillus_megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Bacillus_megaterium_QM_B1551_strainQM_B1551,NC_014019.1,545693,Bacillus_megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes
Mycoplasma_crocodyli_MP145_strainMP145,NC_014014.1,512564,Mycoplasma_crocodyli,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Aminobacterium_colombiense_DSM_12261_strainDSM_12261,NC_014011.1,572547,Aminobacterium_colombiense,Aminobacterium,Synergistaceae,Synergistales,Synergistia,Synergistetes
Coraliomargarita_akajimensis_DSM_45221_strainDSM_45221,NC_014008.1,583355,Coraliomargarita_akajimensis,Coraliomargarita,Puniceicoccaceae,Puniceicoccales,Opitutae,Verrucomicrobia
Prevotella_ruminicola_23_strainBryant_23,NC_014033.1,264731,Prevotella_ruminicola,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes
Desulfotalea_psychrophila_LSv54_strainLSv54,NC_006138.1,177439,Desulfotalea_psychrophila,Desulfotalea,Desulfobulbaceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria
Aromatoleum_aromaticum_EbN1_strainEbN1,NC_006513.1,76114,Aromatoleum_aromaticum,Aromatoleum,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria
Bacteroides_fragilis_NCTC_9343,NC_003228.3,272559,Bacteroides_fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes
Ehrlichia_ruminantium_str_Welgevonden_strainWelgevonden,NC_005295.2,254945,Ehrlichia_ruminantium,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria
Chlamydia_abortus_S263_strainS263,NC_004552.2,218497,Chlamydia_abortus,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Lactobacillus_sakei_subsp_sakei_23K_strain23K,NC_007576.1,314315,Lactobacillus_sakei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Pseudoalteromonas_haloplanktis_TAC125_strainTAC125,NC_007481.1,326442,Pseudoalteromonas_haloplanktis,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria
Pseudomonas_entomophila_L48_strainL48,NC_008027.1,384676,Pseudomonas_entomophila,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Herminiimonas_arsenicoxydans,NC_009138.1,204773,Herminiimonas_arsenicoxydans,Herminiimonas,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria
Bradyrhizobium_sp_ORS_278_strainORS278,NC_009445.1,114615,Bradyrhizobium_sp_ORS_278,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Erwinia_tasmaniensis_Et199_strainEt199,NC_010694.1,465817,Erwinia_tasmaniensis,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Candidatus_Phytoplasma_mali_strainAT,NC_011047.1,37692,Candidatus_Phytoplasma_mali,Candidatus_Phytoplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes
Escherichia_fergusonii_ATCC_35469,NC_011740.1,585054,Escherichia_fergusonii,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_55989_strain55989,NC_011748.1,585055,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_IAI1_strainIAI1,NC_011741.1,585034,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_S88_strainS88,NC_011742.1,585035,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_ED1a_strainED1a,NC_011745.1,585397,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_UMN026_strainUMN026,NC_011751.1,585056,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia_coli_IAI39_strainIAI39,NC_011750.1,585057,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Leuconostoc_citreum_KM20_strainKM20,NC_010471.1,349519,Leuconostoc_citreum,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes
Mycobacterium_liflandii_128FXT_strain128FXT,NC_020133.1,459424,Mycobacterium_liflandii,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Lactobacillus_casei_BL23_strainBL23,NC_010999.1,543734,Lactobacillus_casei,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Lactobacillus_rhamnosus_GG_strainGG_(ATCC_53103),NC_013198.1,568703,Lactobacillus_rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Lactobacillus_rhamnosus_Lc_705_strainLc_705,NC_013199.1,568704,Lactobacillus_rhamnosus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes
Escherichia_coli_O127:H6_str_E234869_strainE234869,NC_011601.1,574521,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_AKU_12601_strainAKU12601,NC_011147.1,554290,Salmonella_enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Streptococcus_equi_subsp_zooepidemicus_strainH70,NC_012470.1,40041,Streptococcus_equi,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Pseudomonas_aeruginosa_LESB58_strainLESB58,NC_011770.1,557722,Pseudomonas_aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Streptococcus_pneumoniae_ATCC_700669_strainATCC_700669,NC_011900.1,561276,Streptococcus_pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Mycobacterium_leprae_Br4923,NC_011896.1,561304,Mycobacterium_leprae,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria
Listeria_monocytogenes_serotype_4b_str_CLIP_80459_strainClip80459,NC_012488.1,568819,Listeria_monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes
Streptococcus_suis_SC84_strainSC84,NC_012924.1,568813,Streptococcus_suis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Streptococcus_suis_BM407_strainBM407,NC_012926.1,568814,Streptococcus_suis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes
Mycoplasma_conjunctivae_strainHRC581T,NC_012806.1,45361,Mycoplasma_conjunctivae,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes
Chlamydia_trachomatis_BTZ1A828OT_strainBTZ1A828OT,NC_012687.1,672161,Chlamydia_trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Chlamydia_trachomatis_BJali20OT_strainJali20,NC_012686.1,580049,Chlamydia_trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae
Neisseria_meningitidis_8013_strain8013,NC_017501.1,604162,Neisseria_meningitidis,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria
