SampleName,Alistipes_finegoldii,Alistipes_obesi,Alistipes_putredinis,Alistipes_shahii,Anaerotruncus_colihominis,Angelakisella_massiliensis,Bacteroides_barnesiae,Bacteroides_caecimuris,Bacteroides_coprocola,Bacteroides_dorei,Bacteroides_faecichinchillae,Bacteroides_fluxus,Bacteroides_fragilis,Bacteroides_helcogenes,Bacteroides_plebeius,Bacteroides_salanitronis,Bacteroides_salyersiae,Bacteroides_stercoris,Blautia_obeum,Butyricimonas_faecalis,Clostridiales_bacterium_CCNA10,Clostridium_phoceensis,Coprobacter_secundus,Coprococcus_comes,Eubacterium_ramulus,Eubacterium_rectale,Flavonifractor_plautii,Fournierella_massiliensis,Fusicatenibacter_saccharivorans,Lachnospiraceae_bacterium_GAM79,Mediterranea_massiliensis,Oscillibacter_sp_PEA192,Parabacteroides_sp_CT06,Paraprevotella_xylaniphila,Pseudoflavonifractor_capillosus,Roseburia_faecis,Roseburia_inulinivorans,Ruminococcus_faecis,Ruminococcus_gnavus,Ruminococcus_lactaris,Tyzzerella_nexilis
SRS011061,0.1387058367645345,0.027914513127307403,0.16686154959839775,0.12132655441071895,0.002797129936420919,0.0025057196026112383,0.0005051048629286251,0.029327575329500786,0.06172011740602667,0.03407747970145335,0.004463105165050727,0.003936526983824972,0.008402260039778314,0.00031220694451079736,0.08881803630131531,0.0008396198285602688,0.0037566985876353255,0.003187841773589443,0.0024443372518198545,0.01834451002087167,0.009324149148525295,0.001337112581215896,0.0018343120286495364,0.0009645790979155514,0.002582486490890057,0.005406088203453452,0.0007436526894381767,0.0014998606691262835,0.0034685270401601863,0.006700000891852537,0.03557145195636494,0.011744889885740127,0.1853535227661628,0.001113947915923215,0.0016049980925418224,0.0017228060346809217,0.0028151118167359726,0.0024354437503200854,0.00012497339209826928,0.00044921890754836803,0.002956143003799764
SRS011084,0.12271471155514664,0.02461321875804101,0.19201786922066258,0.05779937729637979,0.0019822580605981946,0.0016748725543315607,0.00018376543059460564,0.007786085636388736,0.035206920610535375,0.020515993258208225,0.0012512879918251873,0.001829213447848705,0.02148333994516112,0.0005071129429264292,0.010828027440815482,0.0005266174231969003,0.0023341763703075,0.38639427151876754,0.007742807670731254,0.004549337047612599,0.004652066677721869,0.0008501922453794716,0.0004079474510517882,0.0009305890437454395,0.001086310576725318,0.02157726373271685,0.0005495968680790251,0.0009310801218891431,0.002920792427751398,0.004594084553835564,0.003624240425877545,0.0044311134081656675,0.026289698020746863,0.0005816362934565047,0.0013347054065223388,0.00434697621238608,0.013477875270512854,0.0025197051342224085,0.00012133287535240179,0.000405184315522244,0.0024263447582596872
SRS011134,0.08166222156629,0.05774235617088902,0.23548209031256007,0.07964919782453339,0.0030345419482829218,0.004892461998757669,0.00042949495272876035,0.01793279211698172,0.003087509924425597,0.05177388704554939,0.013615814231086985,0.0042486374813713755,0.0023639713738290245,0.0007931541367480635,0.002172660666552415,0.0009432595643886782,0.0056656580072558345,0.005935330190564662,0.01436637208596878,0.012367490792408562,0.009260726655520109,0.002897827938306856,0.0004450765227315783,0.002259502902686122,0.0037092229479587773,0.010944106461108894,0.0008601256414293185,0.002874206044965636,0.008788818320521306,0.14332047895176925,0.008056173913174059,0.00871898307882527,0.1347149744839843,0.0007107783755731944,0.002527871980263191,0.0274811654127478,0.011454320478898702,0.010342929515575625,0.0003209522241324614,0.0031543938266753863,0.008998461931979323
SRS011239,0.008293947853441732,0.03641597537659158,0.28960515282338845,0.05713144048610193,0.0024580767148533037,0.001932774450077489,0.001456256947667265,0.01417147481622533,0.20840584851637567,0.028034302787831422,0.005391915157222683,0.004729271923116735,0.007244266920316523,0.0006802071515680309,0.0011748118037287177,0.0017323697800687113,0.006280201995852406,0.003250810245087774,0.00501140785791935,0.012631391003599512,0.002235035952152909,0.0025074705661647357,0.001252479750791715,0.004235031789303286,0.0009186995094002417,0.038994890937506466,0.000570167357429204,0.001087519369316627,0.0020901020834342933,0.0076687515616817165,0.003907201466264817,0.0056783753597062095,0.21133668593239832,0.0007118638623726403,0.000748538755880878,0.006157568462642721,0.0028783502362506805,0.005443350506484308,0.0001726589375363971,0.004442937317367243,0.000930415674879985
SRS011271,0.06971709778721603,0.012627856600932602,0.19589913296172692,0.017858132397226854,0.002250443077725352,0.0013417435602449753,0.001192211880894796,0.03032413819519101,0.01814954934356411,0.017509892262522114,0.0013503592481302618,0.002768500269255703,0.002392747751286314,0.00021478373058768008,0.01206831749389545,0.0009697276542215645,0.03386858922742327,0.07624885976155717,0.022981237230007178,0.005988576814705487,0.01193024524357153,0.002146039312708781,0.00016215274126109852,0.003227082484142444,0.008183914058678514,0.2258751449101714,0.000501455035186942,0.0008104991453502055,0.005581857047174894,0.07180028739619244,0.005641292563095553,0.0044834261874307415,0.04140216574305636,0.002889446976754339,0.0010573778111116947,0.06697295316216667,0.00991191201896457,0.0069959733730185995,0.0007855311052261145,0.0012439483936378484,0.002675398042784215
SRS011302,0.036231399681480286,0.027034864029818088,0.2323272269309477,0.023353692943325916,0.02019615853982358,0.016753347955983877,0.0017750431286615656,0.010471786108980424,0.029927806877149583,0.018730579511433813,0.007519737637025853,0.01860729338138405,0.0038157020003456122,0.000555667528987822,0.1839455077325097,0.002165261171708983,0.006786197585660245,0.09294029813764629,0.02208712433891762,0.005531930803658918,0.02250341470475774,0.003553399122035278,0.00022577712375031845,0.008274260394557904,0.01338417040388434,0.03948911177966236,0.001324017345486247,0.0078094349880200795,0.006014463424205821,0.022656534880691817,0.01365718720982602,0.008885263969573969,0.00995073406482471,0.0010263764013029141,0.005069291083816,0.01643517073884422,0.032015939505466016,0.01881542063220006,0.0007811355881666121,0.0012151778827674395,0.0061570927307103935
SRS011405,0.0514144363802296,0.015463706144910794,0.0592461447665851,0.04312867273925552,0.0017468983042819679,0.0010719772146080392,0.0018288041977871175,0.31117648749791815,0.08735404916215266,0.07224005420812851,0.006880626520543906,0.02414672053739175,0.012117288749066106,0.004292824604271347,0.03340421382339648,0.0005794349576835433,0.013033430591509531,0.06434611561021261,0.004313726517591669,0.0317244621653363,0.0035149693401424578,0.0019763092157968317,0.001135791540132338,0.001909137371827672,0.0009122435986957222,0.009694619482451521,0.0008658156407377313,0.0005306275737437664,0.008859456024111574,0.052432065363683035,0.010829859938229705,0.004479589700377582,0.013833926381706796,0.0029384639181502196,0.0007613121606495114,0.010331284962437242,0.03193180186706496,0.0009127888595365652,0.0009342279587111531,0.00031986191877625343,0.0013857724901766718
SRS011529,0.013415501335325274,0.04120185215308487,0.10053200889739514,0.01310195074965208,0.0024910861909703645,0.0036317461969057907,0.0010493255361547237,0.11982924734220891,0.006754691249272093,0.0888522610852686,0.005421265096784538,0.0034502447901454355,0.01763642074982796,0.0009625309562171682,0.016864299197797517,0.006836124529388341,0.006378813168985709,0.12584162536724475,0.007667301608786323,0.022902870442577918,0.0049242030891726105,0.0011939945278490365,0.005830526966738053,0.005748528489254614,0.0031085516127022576,0.03678882949259049,0.00040243779193640096,0.0011855045362373343,0.0025882910296953243,0.018639092057224093,0.13415893828776262,0.005560522349746937,0.031692628805319305,0.08004623848582444,0.0029081353815144898,0.03445232307374797,0.016929213893455253,0.005954295592733431,0.0003056954493860685,0.0008317745257454933,0.0019291079173701304
SRS011586,0.10018483568015203,0.007376180482890787,0.01643590893296031,0.3414423136460882,0.013618208656390138,0.00388152006673442,0.000926193032018352,0.035213687799619225,0.04925303069501937,0.04013445541926181,0.003637211129243675,0.018094903459466426,0.061877582668086205,0.0005784237855399153,0.03145816614065656,0.004104776788050862,0.006890410598148763,0.028120019216727955,0.017506099782269184,0.01549525688138681,0.005640610821755186,0.0050398995260492845,0.0004031677036833224,0.008939150412254309,0.0034543288785712817,0.03148232295670854,0.0021405249044399773,0.0029451581294203393,0.0064827630561553815,0.003446542405930072,0.003153908871893117,0.005841683812525592,0.07069486910869437,0.0007703571505437887,0.0025318838315551407,0.00199797905937923,0.004698542334288095,0.03304729536151823,0.0015043066971106892,0.00597428135198699,0.00358123876482596
SRS012273,0.09204197254466932,0.0022612035583297533,0.21443248390929862,0.08391373126282774,0.007258924503790691,0.00562397211320079,0.0002641336959887363,0.002769699875042836,0.04378591805790802,0.16263740910087748,0.0029542741741208547,0.002219554315234502,0.003514607291945041,0.0006123889246633466,0.02103271257231305,7.310710453956596e-05,0.0025577704045127237,0.0930047625072144,0.013697949607358517,0.001490670172827367,0.004958450011569282,0.0038817600878872354,0.00017251890821907276,0.015480310081435224,0.009372187773632924,0.008101110879431736,0.0020527096668154104,0.0022771748874823227,0.0383707877564007,0.004053252397117493,0.0015414813859797236,0.005836709641896907,0.04061466628717103,0.0002602192829728971,0.003585567491943581,0.02045624747447362,0.004305860281568881,0.0033291318457667066,0.05689088426420787,0.014048117621190457,0.004263606276173526
SRS012902,0.010782612891547977,0.0015057295240142451,0.007438371395799811,0.0012406288401820538,0.000362440886942418,0.00017079939673605754,0.003985397474637894,0.18202611195466506,0.03710948182796575,0.13887531064060143,0.00901440627409196,0.04597039445865939,0.3222013580867183,0.00012019394956110984,0.09914780641143636,0.0010581602515954678,0.027938881428739452,0.04005460266123609,0.0023777394033223987,0.0005935742706969351,0.0003610920221847873,0.0003750237376221602,0.0006271030655479776,0.0002909115105385039,0.0006823721887776151,0.00010764811775878002,0.005256965898584345,7.603389168112803e-05,0.00013156968514726902,0.00013038970476494528,0.011652163166881809,0.000980861290694822,0.011696859838682818,0.009551040438278497,0.00015039009485688778,0.00011406891241382056,0.00016059516463125392,0.00013049690640181623,0.017985383825946975,0.00010462994388854994,0.0074603985655650185
